Brand,Area,Whiskies,Votes,Rating,WB Ranking
GF,Scotland,3,3,91.42,B
L,Scotland,1,1,83.67,D
"zariS on top""",Scotland,1,NA,NA,G
'S Peaty,Scotland,11,5,86.81,C
't Koelschip,Netherlands,8,6,33.45,G
(ri)1,United States,3,3,71.13,F
100 Pipers,Scotland,33,11,72.72,F
100% Islay Selection,Scotland,5,4,86.36,C
106 Sample Room,Scotland,1,NA,NA,G
10th Mountain,United States,2,NA,NA,G
11Wells,United States,6,1,76,E
12 (B) Squadron,Scotland,2,1,86,C
150th Tomintoul Highland Games,Scotland,1,NA,NA,G
1512 Spirits,United States,8,3,80.27,D
1770,Scotland,1,NA,NA,G
1792,United States,16,10,86.78,C
1794 Maryland,United States,1,NA,NA,G
1812 Maryland,United States,1,NA,NA,G
1815 - 13 Sterne,Switzerland,2,1,80,D
1835,United States,2,NA,NA,G
1836,Scotland,6,4,85.78,C
1907,Bhutan,1,NA,NA,G
1936,Canada,1,1,80,D
2 Gingers,Ireland,1,1,76.27,E
2003 X 2013,Scotland,1,1,85.6,C
2005 X 2015,Scotland,1,1,86.62,C
21 Brands,United States,1,NA,NA,G
2bar,United States,3,3,73.67,F
2nd Chance,United States,3,2,79.94,E
3 Howls,United States,3,NA,NA,G
3 Isles,Scotland,1,1,75,E
3020,Switzerland,1,1,77,E
3D,Scotland,1,1,82.25,D
5 Gulden,Austria,1,NA,NA,G
50 Years' Celebration,Scotland,1,NA,NA,G
500 Year Malt,Scotland,2,2,89,C
5th and Harrison,Scotland,1,1,87.67,C
6th Avenue,United States,1,NA,NA,G
8:00 PM,India,2,1,62,G
8 Seconds,Canada,2,1,68,G
80 20,Scotland,1,NA,NA,G
808,Scotland,2,1,74,F
A Confidential Distillery in Speyside,Scotland,1,1,87,C
A Distillery in Ireland,Ireland,3,3,87.08,C
A Distillery in Orkney,Scotland,4,2,87.61,C
A Distillery in Speyside,Scotland,1,1,89,C
A Distillery in Tennessee,United States,1,1,87,C
A Dream Of Scotland,Scotland,21,17,86.75,C
A Drop of the Irish,Ireland,29,21,84.09,D
A Local Islay,Scotland,1,1,81.67,D
A Northern Islay Distillery,Scotland,2,2,89.17,C
A Rare Find,Scotland,2,2,91.67,B
A Real Scotch Whisky,Scotland,1,NA,NA,G
A Secret Highland Still,Scotland,1,NA,NA,G
A Single Shot,Scotland,1,NA,NA,G
A Speyside Distillery,Scotland,11,10,86.73,C
A Speyside Malt,Scotland,1,1,88,C
A Speyside Single Malt,Scotland,3,3,90.41,B
A Splendid Speyside Surprise,Scotland,1,1,85,C
